model_name,data_format,language,period,embedding_method,Quelle,download_link
grc_fasttext_cbow_nn2_xn10_dim100,.bin,Greek,,fasttext,Jacobo Myerston. (2021). Ancient Greek Fasttext Word Embeddings (v. 1.2.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7630945,https://zenodo.org/records/7630945/files/grc_fasttext_cbow_nn2_xn10_dim100.bin?download=1
grc_fasttext_cbow_nn2_xn10_dim150,.bin,Greek,,fasttext,Jacobo Myerston. (2021). Ancient Greek Fasttext Word Embeddings (v. 1.2.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7630945,https://zenodo.org/records/7630945/files/grc_fasttext_cbow_nn2_xn10_dim150.bin?download=1
grc_fasttext_cbow_nn2_xn10_dim50,.bin,Greek,,fasttext,Jacobo Myerston. (2021). Ancient Greek Fasttext Word Embeddings (v. 1.2.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7630945,https://zenodo.org/records/7630945/files/grc_fasttext_cbow_nn2_xn10_dim50.bin?download=1
grc_fasttext_skipgram_nn2_xn10_dim150,.bin,Greek,,fasttext,Jacobo Myerston. (2021). Ancient Greek Fasttext Word Embeddings (v. 1.2.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7630945,https://zenodo.org/records/7630945/files/grc_fasttext_skipgram_nn2_xn10_dim150.bin?download=1
grc_fasttext_skipgram_nn2_xn10_dim100,.bin,Greek,,fasttext,Jacobo Myerston. (2021). Ancient Greek Fasttext Word Embeddings (v. 1.2.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7630945,https://zenodo.org/records/7630945/files/grc_fasttext_skipgram_nn2_xn10_dim100.bin?download=1
grc_fasttext_skipgram_nn2_xn10_dim300,.bin,Greek,,fasttext,Jacobo Myerston. (2021). Ancient Greek Fasttext Word Embeddings (v. 1.2.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7630945,https://zenodo.org/records/7630945/files/grc_fasttext_skipgram_nn2_xn10_dim300.vec?download=1
grc_fasttext_skipgram_nn2_xn10_dim50,.bin,Greek,,fasttext,Jacobo Myerston. (2021). Ancient Greek Fasttext Word Embeddings (v. 1.2.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7630945,https://zenodo.org/records/7630945/files/grc_fasttext_skipgram_nn2_xn10_dim50.bin?download=1
grc_floret_cbow_nn2_xn10_b200k_dim300,.bin,Greek,,fasttext,Jacobo Myerston. (2021). Ancient Greek Fasttext Word Embeddings (v. 1.2.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7630945,https://zenodo.org/records/7630945/files/grc_floret_cbow_nn2_xn10_b200k_dim300.bin?download=1
grc_floret_cbow_nn2_xn10_b50k_dim300,.bin,Greek,,fasttext,Jacobo Myerston. (2021). Ancient Greek Fasttext Word Embeddings (v. 1.2.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7630945,https://zenodo.org/records/7630945/files/grc_floret_cbow_nn2_xn10_b50k_dim300.bin?download=1
grc_fasttext_cbow_nn2_xn10_dim100,.vec,Greek,,fasttext,Jacobo Myerston. (2021). Ancient Greek Fasttext Word Embeddings (v. 1.2.2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7630945,https://zenodo.org/records/7630945/files/grc_fasttext_cbow_nn2_xn10_dim100.vec?download=1
